contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
Circular_Seq65	213711	No	NA	231	41	3	Medium-quality	Genome-fragment	86.21	AAI-based (medium-confidence)	0.0	1.01	
Circular_Seq737	30737	No	NA	57	11	1	High-quality	High-quality	99.49	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq62	128019	No	NA	201	44	6	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.26	contig >1.5x longer than expected genome length
Linear_Seq190	8762	No	NA	11	7	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.14	contig >1.5x longer than expected genome length
Linear_Seq222	13585	No	NA	15	3	0	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.42	
Linear_Seq286	29392	No	NA	50	16	0	Medium-quality	Genome-fragment	58.37	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq162	107562	No	NA	141	27	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq194	41775	No	NA	53	31	0	High-quality	High-quality	96.2	AAI-based (medium-confidence)	0.0	1.0	
Circular_Seq290	35100	No	NA	50	9	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq418	96581	No	NA	148	22	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.05	
Circular_Seq482	52207	No	NA	68	13	1	High-quality	High-quality	98.09	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq610	31527	No	NA	39	12	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq770	174809	No	NA	307	195	0	High-quality	High-quality	98.05	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq962	98539	No	NA	95	11	0	High-quality	High-quality	92.61	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq95	64861	No	NA	62	19	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.13	contig >1.5x longer than expected genome length
Linear_Seq159	185039	No	NA	226	19	5	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.03	
Linear_Seq191	10982	No	NA	11	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	contig >1.5x longer than expected genome length
Linear_Seq255	61422	No	NA	78	23	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.07	contig >1.5x longer than expected genome length
Linear_Seq447	52793	No	NA	77	36	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.02	contig >1.5x longer than expected genome length
Linear_Seq479	52748	Yes	45309	66	28	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	14.1	1.0	
Circular_Seq67	104789	No	NA	151	6	5	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq675	58375	No	NA	118	15	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq899	102490	No	NA	98	20	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq963	42899	No	NA	65	13	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq32	139399	No	NA	207	52	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Linear_Seq128	10995	No	NA	17	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.41	contig >1.5x longer than expected genome length
Linear_Seq160	86192	No	NA	111	30	1	High-quality	High-quality	96.25	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq256	47109	No	NA	68	14	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq320	94725	No	NA	112	15	0	High-quality	High-quality	95.66	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq100	69326	No	NA	82	23	3	High-quality	High-quality	99.33	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq324	187571	No	NA	212	22	4	High-quality	High-quality	99.99	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq388	105010	No	NA	87	16	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq420	42807	No	NA	65	14	0	High-quality	High-quality	98.83	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq708	59844	No	NA	103	24	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.89	high kmer_freq may indicate large duplication; contig >1.5x longer than expected genome length
Circular_Seq900	41408	No	NA	62	11	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq33	50738	No	NA	53	1	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.6	high kmer_freq may indicate large duplication; contig >1.5x longer than expected genome length
Linear_Seq129	113115	No	NA	102	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.05	
Linear_Seq193	14878	No	NA	20	9	0	Low-quality	Genome-fragment	44.31	HMM-based (lower-bound)	0.0	1.0	
Linear_Seq225	7455	No	NA	9	3	0	Medium-quality	Genome-fragment	69.5	HMM-based (lower-bound)	0.0	1.0	
Linear_Seq353	38300	Yes	32956	59	17	3	High-quality	High-quality	92.88	AAI-based (high-confidence)	13.95	1.0	
Linear_Seq385	57644	No	NA	78	31	6	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq69	36647	No	NA	58	12	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
