contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
Circular_Seq1	43152	No	NA	72	22	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq2	40312	No	NA	74	19	2	High-quality	High-quality	98.67	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq3	45598	No	NA	71	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq4	43514	No	NA	65	16	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq5	43158	No	NA	83	23	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq6	45603	No	NA	73	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq7	45599	No	NA	71	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq8	43150	No	NA	73	21	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq9	44492	No	NA	76	18	0	High-quality	High-quality	98.92	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq10	43515	No	NA	65	16	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq11	58346	No	NA	100	24	0	High-quality	High-quality	99.03	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq12	43152	No	NA	72	21	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq13	40314	No	NA	74	17	2	High-quality	High-quality	98.67	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq14	45599	No	NA	71	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq15	43150	No	NA	73	22	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq16	43210	No	NA	73	22	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq17	45602	No	NA	71	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq18	58347	No	NA	98	23	0	High-quality	High-quality	99.03	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq19	45597	No	NA	76	21	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq20	40326	No	NA	79	17	1	High-quality	High-quality	98.66	AAI-based (medium-confidence)	0.0	1.0	
Circular_Seq21	39976	No	NA	86	17	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq22	45598	No	NA	71	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq23	45602	No	NA	71	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq24	40314	No	NA	74	19	2	High-quality	High-quality	98.66	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq25	33767	No	NA	42	16	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.72	high kmer_freq may indicate large duplication
Circular_Seq26	23932	No	NA	23	8	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.28	
Circular_Seq27	38974	No	NA	55	23	1	High-quality	High-quality	98.89	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq28	45304	No	NA	72	16	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq29	85222	No	NA	103	11	2	High-quality	High-quality	96.87	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq30	61997	No	NA	71	11	2	High-quality	High-quality	92.15	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq31	36845	No	NA	62	12	0	High-quality	High-quality	99.17	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq32	91429	No	NA	90	12	0	High-quality	High-quality	98.15	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq33	45698	No	NA	74	17	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq34	45420	No	NA	75	18	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq35	44479	No	NA	58	11	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq36	42892	No	NA	74	18	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq37	85223	No	NA	103	11	2	High-quality	High-quality	96.87	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq38	51084	No	NA	72	20	0	High-quality	High-quality	96.86	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq39	45702	No	NA	75	18	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq40	62451	No	NA	115	35	5	High-quality	High-quality	99.35	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq41	35950	No	NA	63	14	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq42	43182	No	NA	57	48	0	High-quality	High-quality	98.38	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq43	63195	No	NA	104	18	0	High-quality	High-quality	99.91	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq44	50048	No	NA	65	19	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
Circular_Seq45	43096	No	NA	73	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq46	78554	No	NA	113	25	1	High-quality	High-quality	98.56	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq47	38720	No	NA	57	21	1	High-quality	High-quality	96.2	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq48	41248	No	NA	76	22	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq49	57531	No	NA	102	21	1	High-quality	High-quality	99.85	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq50	60342	No	NA	101	12	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq51	79807	No	NA	147	20	5	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq52	41379	No	NA	73	15	0	High-quality	High-quality	98.15	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq53	94640	No	NA	87	9	0	Medium-quality	Genome-fragment	89.19	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq54	45228	No	NA	79	16	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq55	45400	No	NA	68	46	0	High-quality	High-quality	96.55	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq56	44829	No	NA	77	8	2	High-quality	High-quality	98.55	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq57	98073	No	NA	94	11	0	High-quality	High-quality	92.16	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq58	41343	No	NA	71	17	0	High-quality	High-quality	97.79	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq59	104789	No	NA	148	6	5	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq60	98590	No	NA	130	19	1	High-quality	High-quality	99.34	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq61	97162	No	NA	93	10	0	High-quality	High-quality	91.36	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq62	40111	No	NA	66	21	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq63	49744	No	NA	83	23	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq64	45899	No	NA	68	10	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq65	213711	No	NA	231	41	3	Medium-quality	Genome-fragment	86.21	AAI-based (medium-confidence)	0.0	1.01	
Circular_Seq66	44817	No	NA	58	34	0	High-quality	High-quality	99.59	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq67	104789	No	NA	151	6	5	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq68	77538	No	NA	122	21	3	High-quality	High-quality	96.19	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq69	36647	No	NA	58	12	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
Circular_Seq70	59320	No	NA	90	29	2	High-quality	High-quality	99.12	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq71	56126	No	NA	102	16	2	High-quality	High-quality	97.43	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq72	73326	No	NA	85	37	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq73	55014	No	NA	99	16	1	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
Circular_Seq74	57308	No	NA	95	17	3	High-quality	High-quality	99.38	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq75	94332	No	NA	88	10	5	High-quality	High-quality	98.14	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq76	156048	No	NA	211	43	5	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq77	37237	No	NA	46	5	0	High-quality	High-quality	99.76	AAI-based (high-confidence)	0.0	1.02	
Circular_Seq78	42969	No	NA	75	17	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq79	43906	No	NA	48	42	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq80	29246	No	NA	48	13	0	High-quality	High-quality	96.64	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq81	42718	No	NA	85	21	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq82	163695	No	NA	196	35	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq83	91842	No	NA	88	10	0	High-quality	High-quality	95.68	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq84	41696	No	NA	76	19	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq85	86154	No	NA	133	25	3	High-quality	High-quality	92.13	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq86	38392	No	NA	70	12	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq87	90988	No	NA	98	5	0	High-quality	High-quality	99.05	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq88	40291	No	NA	63	7	0	High-quality	High-quality	97.41	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq89	52602	No	NA	83	30	0	High-quality	High-quality	93.75	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq90	49193	No	NA	72	19	2	High-quality	High-quality	94.19	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq91	37255	No	NA	63	23	1	High-quality	High-quality	97.26	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq92	41132	No	NA	53	32	0	High-quality	High-quality	94.72	AAI-based (medium-confidence)	0.0	1.0	
Circular_Seq93	112827	No	NA	183	28	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq94	44656	No	NA	74	16	0	High-quality	High-quality	98.99	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq95	41894	No	NA	72	17	0	High-quality	High-quality	99.07	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq96	41613	No	NA	75	21	0	High-quality	High-quality	99.12	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq97	40298	No	NA	74	19	0	High-quality	High-quality	96.16	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq98	57810	No	NA	97	20	3	High-quality	High-quality	96.23	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq99	91378	No	NA	89	12	0	High-quality	High-quality	98.09	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq100	69326	No	NA	82	23	3	High-quality	High-quality	99.33	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq101	41342	No	NA	54	6	1	High-quality	High-quality	97.78	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq102	43556	No	NA	68	10	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq103	98493	No	NA	93	10	0	High-quality	High-quality	92.73	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq104	28857	No	NA	47	2	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.39	contig >1.5x longer than expected genome length
Circular_Seq105	56306	No	NA	82	17	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq106	92183	No	NA	92	10	0	High-quality	High-quality	98.95	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq107	69244	No	NA	97	25	5	High-quality	High-quality	99.22	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq108	93468	No	NA	83	11	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq109	117490	No	NA	157	38	8	High-quality	High-quality	91.55	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq110	151154	No	NA	189	23	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq111	38947	No	NA	60	13	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq112	96989	No	NA	96	11	1	High-quality	High-quality	97.04	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq113	41838	No	NA	76	34	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq114	42417	No	NA	73	15	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq115	37842	Yes	32969	54	11	2	High-quality	High-quality	92.03	AAI-based (high-confidence)	12.88	1.0	
Circular_Seq116	92252	No	NA	120	13	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq117	40512	No	NA	62	18	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq118	102236	No	NA	103	16	0	High-quality	High-quality	98.53	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq119	46673	No	NA	74	18	0	High-quality	High-quality	98.93	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq120	136111	No	NA	181	49	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq121	38741	No	NA	53	23	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq122	114433	No	NA	199	29	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.09	contig >1.5x longer than expected genome length
Circular_Seq123	46204	No	NA	73	17	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq124	59721	No	NA	107	18	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
