contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
Circular_Seq65	213711	No	NA	231	41	3	Medium-quality	Genome-fragment	86.21	AAI-based (medium-confidence)	0.0	1.01	
Circular_Seq97	40298	No	NA	74	19	0	High-quality	High-quality	96.16	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq161	45254	No	NA	73	16	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq289	49697	No	NA	73	27	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.04	
Circular_Seq353	57713	No	NA	105	14	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq417	33840	No	NA	50	14	2	High-quality	High-quality	99.07	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq513	41949	No	NA	76	14	0	High-quality	High-quality	99.36	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq641	40330	No	NA	66	19	0	High-quality	High-quality	98.83	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq673	40994	No	NA	71	14	1	Medium-quality	Genome-fragment	60.8	HMM-based (lower-bound)	0.0	1.01	
Circular_Seq705	38585	No	NA	58	15	0	High-quality	High-quality	99.58	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq897	103524	No	NA	100	17	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq30	38708	No	NA	63	14	1	Medium-quality	Genome-fragment	61.65	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq62	128019	No	NA	201	44	6	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.26	contig >1.5x longer than expected genome length
Linear_Seq94	80368	No	NA	52	5	1	High-quality	High-quality	91.93	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq126	188699	No	NA	247	35	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq158	36908	No	NA	45	10	1	Medium-quality	Genome-fragment	87.17	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq190	8762	No	NA	11	7	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.14	contig >1.5x longer than expected genome length
Linear_Seq222	13585	No	NA	15	3	0	High-quality	High-quality	100.0	HMM-based (lower-bound)	0.0	1.42	
Linear_Seq286	29392	No	NA	50	16	0	Medium-quality	Genome-fragment	58.37	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq350	31717	No	NA	43	20	0	Medium-quality	Genome-fragment	56.58	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq66	44817	No	NA	58	34	0	High-quality	High-quality	99.59	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq98	57810	No	NA	97	20	3	High-quality	High-quality	96.23	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq130	90935	No	NA	91	6	0	High-quality	High-quality	95.23	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq162	107562	No	NA	141	27	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq194	41775	No	NA	53	31	0	High-quality	High-quality	96.2	AAI-based (medium-confidence)	0.0	1.0	
Circular_Seq290	35100	No	NA	50	9	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq322	31339	No	NA	50	19	1	High-quality	High-quality	97.12	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq354	54895	No	NA	95	17	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq386	36834	No	NA	46	10	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq482	52207	No	NA	68	13	1	High-quality	High-quality	98.09	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq514	5301	No	NA	8	4	0	High-quality	High-quality	98.87	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq546	38900	No	NA	54	19	1	High-quality	High-quality	99.71	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq610	31527	No	NA	39	12	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq674	45546	No	NA	74	15	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq706	44105	No	NA	77	20	0	High-quality	High-quality	98.92	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq738	95943	No	NA	143	10	6	High-quality	High-quality	99.84	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq770	174809	No	NA	307	195	0	High-quality	High-quality	98.05	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq962	98539	No	NA	95	11	0	High-quality	High-quality	92.61	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq63	29254	No	NA	50	11	0	Medium-quality	Genome-fragment	70.01	AAI-based (medium-confidence)	0.0	1.0	
Linear_Seq95	64861	No	NA	62	19	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.13	contig >1.5x longer than expected genome length
Linear_Seq159	185039	No	NA	226	19	5	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.03	
Linear_Seq191	10982	No	NA	11	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	contig >1.5x longer than expected genome length
Linear_Seq223	26406	No	NA	26	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
Linear_Seq255	61422	No	NA	78	23	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.07	contig >1.5x longer than expected genome length
Linear_Seq287	46406	No	NA	86	3	2	Low-quality	Genome-fragment	41.81	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq319	42637	No	NA	66	14	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq383	42534	No	NA	48	18	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq415	37819	No	NA	65	19	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq447	52793	No	NA	77	36	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.02	contig >1.5x longer than expected genome length
Linear_Seq479	52748	Yes	45309	66	28	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	14.1	1.0	
Circular_Seq35	44479	No	NA	58	11	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq67	104789	No	NA	151	6	5	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq131	51845	No	NA	93	29	0	Low-quality	Genome-fragment	45.52	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq259	42050	No	NA	54	5	0	High-quality	High-quality	92.84	AAI-based (medium-confidence)	0.0	1.0	
Circular_Seq355	34943	No	NA	41	10	0	High-quality	High-quality	96.78	AAI-based (high-confidence)	0.0	1.01	
Circular_Seq547	45503	No	NA	68	17	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq675	58375	No	NA	118	15	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq707	100171	No	NA	101	17	2	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
Circular_Seq963	42899	No	NA	65	13	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq32	139399	No	NA	207	52	3	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Linear_Seq64	180899	No	NA	282	42	5	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq96	42679	Yes	38759	73	26	5	High-quality	High-quality	96.93	AAI-based (high-confidence)	9.18	1.0	
Linear_Seq128	10995	No	NA	17	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.41	contig >1.5x longer than expected genome length
Linear_Seq160	86192	No	NA	111	30	1	High-quality	High-quality	96.25	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq224	20975	No	NA	15	2	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	contig >1.5x longer than expected genome length
Linear_Seq256	47109	No	NA	68	14	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq288	43533	No	NA	51	43	0	High-quality	High-quality	99.17	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq320	94725	No	NA	112	15	0	High-quality	High-quality	95.66	AAI-based (high-confidence)	0.0	1.01	
Linear_Seq352	180452	No	NA	227	28	0	High-quality	High-quality	97.13	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq100	69326	No	NA	82	23	3	High-quality	High-quality	99.33	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq132	57061	No	NA	104	20	1	High-quality	High-quality	93.36	AAI-based (high-confidence)	0.0	1.02	
Circular_Seq164	44234	No	NA	67	37	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq260	49786	No	NA	80	20	0	High-quality	High-quality	97.98	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq292	40952	No	NA	67	20	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq324	187571	No	NA	212	22	4	High-quality	High-quality	99.99	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq356	58232	No	NA	98	18	2	High-quality	High-quality	97.07	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq388	105010	No	NA	87	16	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq420	42807	No	NA	65	14	0	High-quality	High-quality	98.83	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq452	57741	No	NA	82	14	0	High-quality	High-quality	98.2	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq644	39929	No	NA	66	20	1	Medium-quality	Genome-fragment	88.43	AAI-based (high-confidence)	0.0	1.02	
Circular_Seq708	59844	No	NA	103	24	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.89	high kmer_freq may indicate large duplication; contig >1.5x longer than expected genome length
Circular_Seq740	81081	No	NA	148	20	6	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Circular_Seq900	41408	No	NA	62	11	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq33	50738	No	NA	53	1	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.6	high kmer_freq may indicate large duplication; contig >1.5x longer than expected genome length
Linear_Seq65	101187	No	NA	109	18	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq129	113115	No	NA	102	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.05	
Linear_Seq161	103386	No	NA	88	15	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
Linear_Seq193	14878	No	NA	20	9	0	Low-quality	Genome-fragment	44.31	HMM-based (lower-bound)	0.0	1.0	
Linear_Seq225	7455	No	NA	9	3	0	Medium-quality	Genome-fragment	69.5	HMM-based (lower-bound)	0.0	1.0	
Linear_Seq289	17856	No	NA	29	9	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq321	37825	No	NA	61	16	1	High-quality	High-quality	98.52	AAI-based (high-confidence)	0.0	1.0	
Linear_Seq353	38300	Yes	32956	59	17	3	High-quality	High-quality	92.88	AAI-based (high-confidence)	13.95	1.0	
